topology,intra_isd_paths_scion,inter_isd_paths_scion
topo1_it0,34.0,35.833333333333336
topo1_rac_it1,21.75,30.0
topo1_rac_it2,22.5,35.666666666666664
topo1_rac_it3,23.75,38.0
topo1_rac_it4,22.75,32.0
topo1_rac_it5,21.25,33.0
topo1_rnp_it1,21.75,32.0
topo1_rnp_it2,25.75,30.666666666666668
topo1_rnp_it3,23.0,29.5
topo1_rnp_it4,21.25,28.833333333333332
topo1_rnp_it5,23.5,33.333333333333336
topo2_it0,30.666666666666668,20.666666666666668
topo2_rac_it1,30.333333333333332,23.333333333333332
topo2_rac_it2,29.0,36.333333333333336
topo2_rac_it3,27.333333333333332,40.666666666666664
topo2_rac_it4,22.0,22.0
topo2_rac_it5,23.666666666666668,45.666666666666664
topo2_rnp_it1,29.666666666666668,21.333333333333332
topo2_rnp_it2,30.333333333333332,23.0
topo2_rnp_it3,29.666666666666668,57.666666666666664
topo2_rnp_it4,28.666666666666668,57.333333333333336
topo2_rnp_it5,31.333333333333332,56.666666666666664
topo3_it0,11.8,21.4
topo3_rac_it1,7.8,21.4
topo3_rac_it2,8.0,21.3
topo3_rac_it3,7.8,23.6
topo3_rac_it4,7.8,21.7
topo3_rac_it5,7.8,21.8
topo3_rnp_it1,11.8,21.8
topo3_rnp_it2,11.8,20.2
topo3_rnp_it3,11.6,20.2
topo3_rnp_it4,11.6,19.9
topo3_rnp_it5,11.8,19.9
topo4_it0,12.0,22.833333333333332
topo4_rac_it1,9.75,32.333333333333336
topo4_rac_it2,9.75,28.666666666666668
topo4_rac_it3,9.5,25.571428571428573
topo4_rac_it4,10.0,27.428571428571427
topo4_rac_it5,9.0,30.857142857142858
topo4_rnp_it1,13.0,27.333333333333332
topo4_rnp_it2,15.75,34.5
topo4_rnp_it3,15.75,32.5
topo4_rnp_it4,15.5,33.5
topo4_rnp_it5,16.0,33.166666666666664
topo5_it0,15.666666666666666,24.333333333333332
topo5_rac_it1,15.0,26.066666666666666
topo5_rac_it2,13.666666666666666,29.733333333333334
topo5_rac_it3,14.5,31.8
topo5_rac_it4,17.5,32.666666666666664
topo5_rac_it5,17.666666666666668,29.533333333333335
topo5_rnp_it1,18.166666666666668,24.266666666666666
topo5_rnp_it2,17.166666666666668,25.466666666666665
topo5_rnp_it3,16.166666666666668,24.6
topo5_rnp_it4,17.5,26.8
topo5_rnp_it5,19.0,28.533333333333335
topo6_it0,7.333333333333333,9.0
topo6_rac_it1,7.0,9.0
topo6_rac_it2,7.0,6.666666666666667
topo6_rac_it3,7.0,6.666666666666667
topo6_rac_it4,7.0,6.666666666666667
topo6_rac_it5,7.0,8.0
topo6_rnp_it1,7.0,9.0
topo6_rnp_it2,7.0,9.0
topo6_rnp_it3,2.6666666666666665,6.666666666666667
topo6_rnp_it4,2.6666666666666665,6.0
topo6_rnp_it5,2.6666666666666665,6.0
