topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth,border_breadth_avg
topo10_rnp_it3,38,74,3.8947368421052633,1,2.980546344161635,2.7850860650503635,-0.20621710688111763,0.1409921671018277,0.116782340466551,0.7272727272727273,2.7089583713508114,5.9701343562670655,0.33882798239550926,"{'3': 1.0, '1': 0.5714285714285714, '2': 0.25}",0.6071428571428571
topo10_it0,38,74,3.8947368421052633,1,3.0931968957716025,2.7808589355000475,-0.23122047448476377,0.14393939393939395,0.13339358010410643,0.5,2.8191261986773117,6.055740259832453,0.2928602406272538,"{'3': 1.0, '1': 0.42857142857142855, '2': 0.21428571428571427}",0.5476190476190476
topo10_rac_it1,38,74,3.8947368421052633,1,3.050362132808863,2.7367190406746227,-0.2335820830081466,0.13810741687979539,0.12296124927703873,0.6363636363636364,2.71003261954028,5.978729331452183,0.3483906488848013,"{'3': 1.0, '1': 0.42857142857142855, '2': 0.21428571428571427}",0.5476190476190476
topo10_rnp_it2,38,74,3.8947368421052633,1,2.980546344161635,2.7850860650503635,-0.20621710688111763,0.1409921671018277,0.116782340466551,0.7272727272727273,2.708958371350812,5.970134356267056,0.33882798239550616,"{'3': 1.0, '1': 0.5714285714285714, '2': 0.25}",0.6071428571428571
topo10_rnp_it5,38,74,3.8947368421052633,1,2.980546344161635,2.7850860650503635,-0.20621710688111763,0.1409921671018277,0.116782340466551,0.625,2.7089583713508087,5.970134356267053,0.33882798239550926,"{'3': 1.0, '1': 0.5714285714285714, '2': 0.25}",0.6071428571428571
topo10_rnp_it4,38,74,3.8947368421052633,1,2.980546344161635,2.7850860650503635,-0.20621710688111763,0.1409921671018277,0.116782340466551,0.6,2.7089583713508034,5.970134356267056,0.3388279823955118,"{'3': 1.0, '1': 0.5714285714285714, '2': 0.25}",0.6071428571428571
topo10_rac_it5,38,74,3.8947368421052633,1,3.07613456762157,2.71186491232978,-0.29091675299819086,0.1218274111675127,0.14420185078079814,0.8181818181818182,2.66663808068622,5.886008938542388,0.5362968964805781,"{'3': 1.3333333333333333, '1': 1.0, '2': 0.32142857142857145}",0.8849206349206349
topo10_rac_it4,38,74,3.8947368421052633,1,3.0417227951157657,2.6642220011440054,-0.26009821004276906,0.13076923076923078,0.14053643724696355,0.6666666666666666,2.6308412656474207,5.903900783925615,0.4808754616424954,"{'3': 1.3333333333333333, '1': 0.8571428571428571, '2': 0.2857142857142857}",0.8253968253968252
topo10_rnp_it1,38,74,3.8947368421052633,1,2.980546344161635,2.7850860650503635,-0.20621710688111763,0.1409921671018277,0.116782340466551,0.6,2.7089583713508016,5.970134356267046,0.33882798239551043,"{'3': 1.0, '1': 0.5714285714285714, '2': 0.25}",0.6071428571428571
topo10_rac_it3,38,74,3.8947368421052633,1,3.058977070888503,2.699302899641441,-0.25535948407214487,0.1377551020408163,0.14163292847503375,0.6363636363636364,2.640317594534578,5.950914305710975,0.44528791417050195,"{'3': 1.3333333333333333, '1': 0.7142857142857143, '2': 0.25}",0.7658730158730158
topo10_rac_it2,38,74,3.8947368421052633,1,3.0589770708885027,2.69530726803792,-0.2481629926519711,0.1377551020408163,0.14050510892616155,0.5555555555555556,2.6678136469699676,5.969421250674903,0.39858464055805953,"{'3': 1.3333333333333333, '1': 0.5714285714285714, '2': 0.21428571428571427}",0.7063492063492064
topo11_it0,33,42,2.5454545454545454,1,1.2574844800755411,2.2052854990035753,-0.08352144469525889,0.16483516483516483,0.1585858585858586,0.125,0.503443748463634,3.406428347945649,0.09327165367006185,"{'3': 0.6666666666666666, '1': 0.8333333333333334, '5': 0.2222222222222222, '4': 0.2857142857142857, '2': 0.625}",0.5265873015873016
topo11_rnp_it2,33,42,2.5454545454545454,1,1.2574844800755411,2.2052854990035753,-0.08352144469525889,0.16483516483516483,0.15858585858585858,0.125,0.503443748463634,3.4064283479456505,0.09327165367006084,"{'3': 0.6666666666666666, '1': 0.8333333333333334, '5': 0.2222222222222222, '4': 0.2857142857142857, '2': 0.625}",0.5265873015873016
topo11_rnp_it3,33,42,2.5454545454545454,1,1.2574844800755411,2.2052854990035753,-0.08352144469525889,0.16483516483516483,0.15858585858585858,0.125,0.5034437484636372,3.406428347945649,0.09327165367006121,"{'3': 0.6666666666666666, '1': 0.8333333333333334, '5': 0.2222222222222222, '4': 0.2857142857142857, '2': 0.625}",0.5265873015873016
topo11_rac_it1,33,42,2.5454545454545454,1,1.2813560310221803,2.2467420309505646,-0.22049131216297144,0.13043478260869565,0.12121212121212122,0.125,0.3794704049035178,3.3087928123061134,0.09793468835722104,"{'3': 0.6666666666666666, '1': 0.8333333333333334, '5': 0.2222222222222222, '4': 0.2857142857142857, '2': 0.625}",0.5265873015873016
topo11_rnp_it4,33,42,2.5454545454545454,1,1.2574844800755411,2.2052854990035753,-0.08352144469525889,0.16483516483516483,0.15858585858585858,0.125,0.5034437484636394,3.406428347945651,0.09327165367006167,"{'3': 0.6666666666666666, '1': 0.8333333333333334, '5': 0.2222222222222222, '4': 0.2857142857142857, '2': 0.625}",0.5265873015873016
topo11_rnp_it5,33,42,2.5454545454545454,1,1.2574844800755411,2.2052854990035753,-0.08352144469525889,0.16483516483516483,0.15858585858585858,0.125,0.5034437484636389,3.4064283479456536,0.09327165367006142,"{'3': 0.6666666666666666, '1': 0.8333333333333334, '5': 0.2222222222222222, '4': 0.2857142857142857, '2': 0.625}",0.5265873015873016
topo11_rac_it4,33,42,2.5454545454545454,1,1.4993111365882401,2.2850410882687076,-0.18447837150127297,0.058823529411764705,0.04848484848484849,0.3125,0.5158289988997637,3.4372562407519487,0.1982380215347039,"{'3': 1.0, '1': 1.0, '5': 0.3333333333333333, '4': 0.42857142857142855, '2': 0.625}",0.6773809523809524
topo11_rac_it5,33,42,2.5454545454545454,1,1.5587661999529316,2.2785447631801534,-0.1139240506329113,0.05714285714285714,0.04646464646464647,0.42857142857142855,0.6957725264918362,3.5654286207357817,0.20247318666675074,"{'3': 1.0, '1': 1.0, '5': 0.4444444444444444, '4': 0.42857142857142855, '2': 0.75}",0.7246031746031746
topo11_rac_it2,33,42,2.5454545454545454,1,1.3945979998792546,2.3167193172873977,-0.1688520203371703,0.12371134020618557,0.11414141414141415,0.3,0.5894424279269677,3.436179025743094,0.1448087051815351,"{'3': 0.6666666666666666, '1': 1.0, '5': 0.3333333333333333, '4': 0.2857142857142857, '2': 0.625}",0.5821428571428571
topo11_rnp_it1,33,42,2.5454545454545454,1,1.2574844800755411,2.2052854990035753,-0.08352144469525889,0.16483516483516483,0.15858585858585858,0.2,0.5034437484636385,3.4064283479456505,0.09327165367006203,"{'3': 0.6666666666666666, '1': 0.8333333333333334, '5': 0.2222222222222222, '4': 0.2857142857142857, '2': 0.625}",0.5265873015873016
topo11_rac_it3,33,42,2.5454545454545454,1,1.3945979998792548,2.240475179571156,-0.137127099523691,0.09278350515463918,0.09191919191919193,0.1875,0.4461287856066578,3.3896515554092703,0.15057306258211473,"{'3': 0.6666666666666666, '1': 1.0, '5': 0.3333333333333333, '4': 0.2857142857142857, '2': 0.625}",0.5821428571428571
topo9_rnp_it5,23,39,3.391304347826087,1,1.4367575340746352,2.4074300228806176,-0.014492753623189341,0.2564102564102564,0.16956521739130437,0.36363636363636365,0.8194992361526667,4.20667460325061,0.17338052333138815,"{'3': 2.3333333333333335, '1': 0.3333333333333333, '2': 0.375}",1.013888888888889
topo9_it0,23,39,3.391304347826087,1,1.6081080007745154,2.587504346796978,0.03917220990391771,0.34146341463414637,0.24265010351966873,0.09090909090909091,1.5554053523783113,4.682481125423899,0.07657191483596834,"{'3': 1.0, '1': 0.08333333333333333, '2': 0.25}",0.4444444444444444
topo9_rnp_it4,23,39,3.391304347826087,1,1.4367575340746352,2.4074300228806176,-0.014492753623189341,0.2564102564102564,0.16956521739130437,0.36363636363636365,0.8194992361526645,4.206674603250606,0.17338052333138881,"{'3': 2.3333333333333335, '1': 0.3333333333333333, '2': 0.375}",1.013888888888889
topo9_rac_it1,23,39,3.391304347826087,1,1.6613020151776348,2.566190216550323,-0.06348530038346804,0.312,0.23395445134575563,0.18181818181818182,1.3658979476184427,4.571960184743661,0.20825148314546948,"{'3': 1.0, '1': 0.16666666666666666, '2': 0.375}",0.513888888888889
topo9_rnp_it3,23,39,3.391304347826087,1,1.4061705764170633,2.37642813061118,-0.03268514687629421,0.25862068965517243,0.1826086956521739,0.2727272727272727,0.8423113292703897,4.205300642902303,0.1460445029028117,"{'3': 2.0, '1': 0.25, '2': 0.375}",0.875
topo9_rnp_it2,23,39,3.391304347826087,1,1.4367575340746355,2.4074300228806176,-0.15942028985507145,0.2564102564102564,0.2202898550724637,0.25,0.8972970396185063,4.1902253306263955,0.14223692030172214,"{'3': 1.6666666666666667, '1': 0.25, '2': 0.25}",0.7222222222222223
topo9_rac_it3,23,39,3.391304347826087,1,1.6872702532115005,2.5228657634046865,-0.1572958500669346,0.21428571428571427,0.12608695652173915,0.36363636363636365,1.4512063297678575,4.449562937179694,0.3712321726068999,"{'3': 1.3333333333333333, '1': 0.3333333333333333, '2': 0.5}",0.7222222222222222
topo9_rnp_it1,23,39,3.391304347826087,1,1.5248415579782766,2.4962058480965483,-0.0624426078971525,0.3,0.23913043478260865,0.18181818181818182,1.2703244400792455,4.432181151064431,0.11552282589071063,"{'3': 1.3333333333333333, '1': 0.16666666666666666, '2': 0.25}",0.5833333333333334
topo9_rac_it2,23,39,3.391304347826087,1,1.7128448350949748,2.6286137419059736,-0.10608356787183301,0.28346456692913385,0.17391304347826086,0.2727272727272727,1.5706876497536335,4.592104880920099,0.3055725316841134,"{'3': 1.0, '1': 0.25, '2': 0.5}",0.5833333333333334
topo9_rac_it5,23,39,3.391304347826087,1,1.8115362309564922,2.6203255425432155,-0.22938557435440735,0.183206106870229,0.1458592132505176,0.45454545454545453,1.3641291622282639,4.348381229862376,0.5070823878303874,"{'3': 1.3333333333333333, '1': 0.4166666666666667, '2': 0.625}",0.7916666666666666
topo9_rac_it4,23,39,3.391304347826087,1,1.7628812984968079,2.420756391857001,-0.15834675254965053,0.16279069767441862,0.10527950310559006,0.45454545454545453,1.5036412398644998,4.36122680499434,0.46876658774211394,"{'3': 1.3333333333333333, '1': 0.4166666666666667, '2': 0.625}",0.7916666666666666
topo7_rac_it2,40,65,3.25,1,2.5860201081971503,2.5891248756075713,-0.3130678523100718,0.16071428571428573,0.24140151515151512,0.4,1.3573608872747527,4.9632190052281855,0.2944171629436515,"{'3': 0.4166666666666667, '1': 0.4666666666666667, '2': 0.46153846153846156}",0.4482905982905983
topo7_rnp_it1,40,65,3.25,1,2.595669470483482,2.647085133395088,-0.28986850688364757,0.18149466192170818,0.3183787046287046,0.3333333333333333,1.3351038439820613,5.013964560509316,0.20352973360118254,"{'3': 0.3333333333333333, '1': 0.5333333333333333, '2': 0.46153846153846156}",0.44273504273504277
topo7_rac_it3,40,65,3.25,1,2.56661255354212,2.597085133395088,-0.3065074119170487,0.1510791366906475,0.1989015151515151,0.4166666666666667,1.3203335863381067,4.935700744603657,0.33080823939974374,"{'3': 0.4166666666666667, '1': 0.4666666666666667, '2': 0.46153846153846156}",0.4482905982905983
topo7_rac_it4,40,65,3.25,1,2.446936860648431,2.606373774004892,-0.29716513579594256,0.14661654135338345,0.18534090909090908,0.4444444444444444,1.3166707306083087,4.8215807145165135,0.33168891865126704,"{'3': 0.5, '1': 0.4, '2': 0.46153846153846156}",0.45384615384615384
topo7_rac_it5,40,65,3.25,1,2.4672859582950655,2.6569509636624975,-0.30600561437633994,0.13432835820895522,0.1753409090909091,0.46153846153846156,1.4530573976813996,4.838796408149915,0.36957118096296804,"{'3': 0.5, '1': 0.4666666666666667, '2': 0.5384615384615384}",0.5017094017094017
topo7_rnp_it4,40,65,3.25,1,2.595669470483482,2.647085133395088,-0.28986850688364757,0.18149466192170818,0.3183787046287046,0.3333333333333333,1.3351038439820577,5.013964560509312,0.2035297336011861,"{'3': 0.3333333333333333, '1': 0.5333333333333333, '2': 0.46153846153846156}",0.44273504273504277
topo7_rnp_it5,40,65,3.25,1,2.595669470483482,2.647085133395088,-0.28986850688364757,0.18149466192170818,0.3183787046287046,0.3333333333333333,1.335103843982063,5.013964560509318,0.2035297336011861,"{'3': 0.3333333333333333, '1': 0.5333333333333333, '2': 0.46153846153846156}",0.44273504273504277
topo7_rnp_it2,40,65,3.25,1,2.595669470483482,2.647085133395088,-0.28986850688364757,0.18149466192170818,0.3183787046287046,0.3333333333333333,1.3351038439820688,5.01396456050933,0.20352973360118504,"{'3': 0.3333333333333333, '1': 0.5333333333333333, '2': 0.46153846153846156}",0.44273504273504277
topo7_it0,40,65,3.25,1,2.5860201081971503,2.576869250715745,-0.2854520020982688,0.18214285714285713,0.310796287046287,0.3333333333333333,1.3169744957649634,4.989406887339489,0.2058540546316395,"{'3': 0.3333333333333333, '1': 0.4666666666666667, '2': 0.38461538461538464}",0.39487179487179486
topo7_rnp_it3,40,65,3.25,1,2.595669470483482,2.647085133395088,-0.28986850688364757,0.18149466192170818,0.3183787046287046,0.3333333333333333,1.335103843982063,5.013964560509318,0.2035297336011824,"{'3': 0.3333333333333333, '1': 0.5333333333333333, '2': 0.46153846153846156}",0.44273504273504277
topo7_rac_it1,40,65,3.25,1,2.671610001478509,2.640102376040265,-0.3177396548493163,0.16608996539792387,0.2515472027972027,0.4117647058823529,1.4838804539457868,5.050557251681953,0.28597316096359365,"{'3': 0.4166666666666667, '1': 0.4666666666666667, '2': 0.46153846153846156}",0.4482905982905983
