path_metric,graph_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
inter_isd_paths_avg,avg_degree,0.8295,0.0,0.7641,0.0,132
inter_isd_paths_avg,cheeger_constant,0.7926,0.0,0.7657,0.0,132
inter_isd_paths_avg,algebraic_connectivity,0.7746,0.0,0.7665,0.0,132
inter_isd_paths_avg,spectral_radius,0.7415,0.0,0.7066,0.0,132
inter_isd_paths_avg,spectral_gap,0.6298,0.0,0.5727,0.0,132
inter_isd_paths_avg,degree_std,0.6077,0.0,0.5358,0.0,132
inter_isd_paths_avg,border_breadth_avg,0.5991,0.0,0.4582,0.0,132
inter_isd_paths_avg,degree_entropy,0.4763,0.0,0.5602,0.0,132
inter_isd_paths_avg,average_clustering,0.4223,0.0,0.5594,0.0,132
inter_isd_paths_avg,|E|,0.4186,0.0,0.4484,0.0,132
inter_isd_paths_avg,transitivity,0.3161,0.0002,0.4515,0.0,132
inter_isd_paths_avg,|V|,-0.1043,0.2338,-0.0693,0.4299,132
inter_isd_paths_avg,assortativity,-0.313,0.0003,-0.3147,0.0002,132
inter_isd_paths_avg,nr_connected_components,,,,,132
intra_isd_paths_avg,cheeger_constant,0.8895,0.0,0.8522,0.0,132
intra_isd_paths_avg,avg_degree,0.8437,0.0,0.8111,0.0,132
intra_isd_paths_avg,spectral_radius,0.8433,0.0,0.8517,0.0,132
intra_isd_paths_avg,algebraic_connectivity,0.8279,0.0,0.8419,0.0,132
intra_isd_paths_avg,spectral_gap,0.7669,0.0,0.739,0.0,132
intra_isd_paths_avg,degree_std,0.7468,0.0,0.7432,0.0,132
intra_isd_paths_avg,border_breadth_avg,0.7082,0.0,0.4166,0.0,132
intra_isd_paths_avg,degree_entropy,0.6495,0.0,0.685,0.0,132
intra_isd_paths_avg,|E|,0.512,0.0,0.5049,0.0,132
intra_isd_paths_avg,average_clustering,0.1634,0.0612,0.5028,0.0,132
intra_isd_paths_avg,transitivity,0.0979,0.2639,0.3637,0.0,132
intra_isd_paths_avg,|V|,-0.0173,0.844,-0.0295,0.7366,132
intra_isd_paths_avg,assortativity,-0.4642,0.0,-0.5006,0.0,132
intra_isd_paths_avg,nr_connected_components,,,,,132
total_paths_avg,avg_degree,0.854,0.0,0.7863,0.0,132
total_paths_avg,cheeger_constant,0.847,0.0,0.8231,0.0,132
total_paths_avg,algebraic_connectivity,0.8136,0.0,0.8211,0.0,132
total_paths_avg,spectral_radius,0.7877,0.0,0.76,0.0,132
total_paths_avg,spectral_gap,0.6936,0.0,0.6466,0.0,132
total_paths_avg,degree_std,0.6638,0.0,0.613,0.0,132
total_paths_avg,border_breadth_avg,0.6432,0.0,0.4458,0.0,132
total_paths_avg,degree_entropy,0.5265,0.0,0.5815,0.0,132
total_paths_avg,|E|,0.4466,0.0,0.4531,0.0,132
total_paths_avg,average_clustering,0.3579,0.0,0.5533,0.0,132
total_paths_avg,transitivity,0.2588,0.0027,0.4245,0.0,132
total_paths_avg,|V|,-0.0924,0.2918,-0.0912,0.2985,132
total_paths_avg,assortativity,-0.3665,0.0,-0.3841,0.0,132
total_paths_avg,nr_connected_components,,,,,132
