topology,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo0_it0,9.763157894736842,380,0,0,0,0
topo0_rac_it5,32.44736842105263,380,0,0,0,0
topo0_rnp_it5,23.257894736842104,380,0,0,0,0
topo10_it0,25.307965860597438,1406,0,0,0,0
topo10_rac_it5,40.19487908961593,1406,0,0,0,0
topo10_rnp_it5,21.483641536273115,1406,0,0,0,0
topo11_it0,2.164772727272727,1056,0,0,0,0
topo11_rac_it5,9.445075757575758,1056,0,0,0,0
topo11_rnp_it5,2.164772727272727,1056,0,0,0,0
topo1_it0,0.49014778325123154,812,0,0,0,0
topo1_rac_it5,25.12807881773399,812,0,0,0,0
topo1_rnp_it5,20.01847290640394,812,0,0,0,0
topo2_it0,1.8057040998217468,1122,0,0,0,0
topo2_rac_it5,6.689839572192513,1122,0,0,0,0
topo2_rnp_it5,5.335115864527629,1122,0,0,0,0
topo3_it0,2.501700680272109,2352,0,0,0,0
topo3_rac_it5,10.384353741496598,2352,0,0,0,0
topo3_rnp_it5,6.916666666666667,2352,0,0,0,0
topo4_it0,4.815602836879433,2256,0,0,0,0
topo4_rac_it5,6.468085106382978,2256,0,0,0,0
topo4_rnp_it5,22.19281914893617,2256,0,0,0,0
topo5_it0,1.5029036004645762,1722,0,0,0,0
topo5_rac_it5,5.031358885017422,1722,0,0,0,0
topo5_rnp_it5,2.3089430894308944,1722,0,0,0,0
topo6_it0,28.30808080808081,1980,0,0,0,0
topo6_rac_it5,27.89848484848485,1980,0,0,0,0
topo6_rnp_it5,26.457070707070706,1980,0,0,0,0
topo7_it0,14.557692307692308,1560,0,0,0,0
topo7_rac_it5,20.77179487179487,1560,0,0,0,0
topo7_rnp_it5,18.47179487179487,1560,0,0,0,0
topo8_it0,41.78403361344538,1190,0,0,0,0
topo8_rac_it5,35.870588235294115,1190,0,0,0,0
topo8_rnp_it5,38.36218487394958,1190,0,0,0,0
topo9_it0,2.3596837944664033,506,0,0,0,0
topo9_rac_it5,17.470355731225297,506,0,0,0,0
topo9_rnp_it5,9.75098814229249,506,0,0,0,0
