topology,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo0_it0,0,0,31.833333333333332,6,5.0,24
topo0_rac_it1,0,0,41.833333333333336,6,10.416666666666666,24
topo0_rac_it2,0,0,23.833333333333332,6,15.75,24
topo0_rac_it3,0,0,33.833333333333336,6,30.333333333333332,24
topo0_rac_it4,0,0,27.833333333333332,6,21.875,24
topo0_rac_it5,0,0,27.0,6,29.541666666666668,24
topo0_rnp_it1,0,0,27.166666666666668,6,12.166666666666666,24
topo0_rnp_it2,0,0,24.5,6,17.666666666666668,24
topo0_rnp_it3,0,0,24.5,6,16.375,24
topo0_rnp_it4,0,0,27.666666666666668,6,17.458333333333332,24
topo0_rnp_it5,0,0,23.166666666666668,6,15.375,24
topo10_it0,0,0,17.433333333333334,30,19.75,16
topo10_rac_it4,0,0,24.133333333333333,30,28.75,16
topo10_rac_it5,0,0,25.766666666666666,30,20.625,16
topo10_rnp_it1,0,0,19.4,30,11.125,16
topo10_rnp_it2,0,0,20.033333333333335,30,11.125,16
topo10_rnp_it3,0,0,20.2,30,11.125,16
topo10_rnp_it4,0,0,19.766666666666666,30,11.125,16
topo10_rnp_it5,0,0,20.033333333333335,30,11.125,16
topo11_it0,0,0,3.625,16,2.3,20
topo11_rac_it1,0,0,2.5625,16,2.1,20
topo11_rac_it2,0,0,4.875,16,3.3,20
topo11_rac_it3,0,0,4.5625,16,5.1,20
topo11_rac_it4,0,0,7.1875,16,6.9,20
topo11_rac_it5,0,0,12.8125,16,8.15,20
topo11_rnp_it1,0,0,2.5625,16,1.7,20
topo11_rnp_it2,0,0,2.5625,16,1.7,20
topo11_rnp_it3,0,0,2.5625,16,1.7,20
topo11_rnp_it4,0,0,2.5625,16,1.7,20
topo11_rnp_it5,0,0,2.4375,16,1.7,20
topo1_it0,0,0,8.0,1,12.277777777777779,36
topo1_rac_it1,0,0,13.0,1,17.47222222222222,36
topo1_rac_it2,0,0,13.0,1,16.25,36
topo1_rac_it3,0,0,13.0,1,17.02777777777778,36
topo1_rac_it4,0,0,13.0,1,14.333333333333334,36
topo1_rac_it5,0,0,13.0,1,14.583333333333334,36
topo1_rnp_it1,0,0,12.0,1,13.527777777777779,36
topo1_rnp_it2,0,0,12.0,1,14.222222222222221,36
topo1_rnp_it3,0,0,12.0,1,11.63888888888889,36
topo1_rnp_it4,0,0,12.0,1,11.666666666666666,36
topo1_rnp_it5,0,0,13.0,1,14.61111111111111,36
topo2_it0,0,0,1.7894736842105263,38,1.5384615384615385,26
topo2_rac_it1,0,0,3.1315789473684212,38,3.6538461538461537,26
topo2_rac_it2,0,0,3.8947368421052633,38,3.0,26
topo2_rac_it3,0,0,5.342105263157895,38,5.384615384615385,26
topo2_rac_it4,0,0,4.7105263157894735,38,4.153846153846154,26
topo2_rac_it5,0,0,5.868421052631579,38,5.153846153846154,26
topo2_rnp_it1,0,0,2.5789473684210527,38,3.1538461538461537,26
topo2_rnp_it2,0,0,4.421052631578948,38,4.230769230769231,26
topo2_rnp_it3,0,0,4.421052631578948,38,4.153846153846154,26
topo2_rnp_it4,0,0,4.2631578947368425,38,4.153846153846154,26
topo2_rnp_it5,0,0,4.526315789473684,38,4.384615384615385,26
topo3_it0,0,0,3.5076923076923077,65,4.236363636363636,110
topo3_rac_it1,0,0,5.538461538461538,65,5.945454545454545,110
topo3_rac_it2,0,0,5.538461538461538,65,5.945454545454545,110
topo3_rac_it3,0,0,5.538461538461538,65,5.909090909090909,110
topo3_rac_it4,0,0,10.107692307692307,65,7.709090909090909,110
topo3_rac_it5,0,0,11.984615384615385,65,11.2,110
topo3_rnp_it1,0,0,5.276923076923077,65,6.763636363636364,110
topo3_rnp_it2,0,0,3.8923076923076922,65,5.381818181818182,110
topo3_rnp_it3,0,0,5.661538461538462,65,5.4363636363636365,110
topo3_rnp_it4,0,0,9.6,65,5.872727272727273,110
topo3_rnp_it5,0,0,7.907692307692308,65,4.418181818181818,110
topo4_it0,0,0,6.362745098039215,102,7.2105263157894735,38
topo4_rac_it1,0,0,8.470588235294118,102,7.578947368421052,38
topo4_rac_it2,0,0,18.235294117647058,102,16.394736842105264,38
topo4_rac_it3,0,0,15.137254901960784,102,14.263157894736842,38
topo4_rac_it4,0,0,8.735294117647058,102,8.289473684210526,38
topo4_rac_it5,0,0,6.323529411764706,102,7.473684210526316,38
topo4_rnp_it1,0,0,5.107843137254902,102,6.947368421052632,38
topo4_rnp_it2,0,0,10.529411764705882,102,11.526315789473685,38
topo4_rnp_it3,0,0,15.686274509803921,102,20.86842105263158,38
topo4_rnp_it4,0,0,21.147058823529413,102,21.86842105263158,38
topo4_rnp_it5,0,0,21.862745098039216,102,21.94736842105263,38
topo5_it0,0,0,1.3043478260869565,46,1.3571428571428572,28
topo5_rac_it1,0,0,2.782608695652174,46,2.2857142857142856,28
topo5_rac_it2,0,0,2.8260869565217392,46,2.4285714285714284,28
topo5_rac_it3,0,0,5.195652173913044,46,3.642857142857143,28
topo5_rac_it4,0,0,5.282608695652174,46,3.7857142857142856,28
topo5_rac_it5,0,0,5.326086956521739,46,3.642857142857143,28
topo5_rnp_it1,0,0,2.0,46,1.8571428571428572,28
topo5_rnp_it2,0,0,2.0,46,1.8571428571428572,28
topo5_rnp_it3,0,0,2.0,46,1.8571428571428572,28
topo5_rnp_it4,0,0,2.0,46,1.8571428571428572,28
topo5_rnp_it5,0,0,2.0,46,1.8571428571428572,28
topo6_it0,0,0,68.57894736842105,19,40.714285714285715,14
topo6_rac_it1,0,0,56.1578947368421,19,28.642857142857142,14
topo6_rac_it2,0,0,36.63157894736842,19,34.642857142857146,14
topo6_rac_it3,0,0,30.36842105263158,19,35.57142857142857,14
topo6_rac_it4,0,0,29.105263157894736,19,41.857142857142854,14
topo6_rac_it5,0,0,27.894736842105264,19,30.5,14
topo6_rnp_it1,0,0,55.526315789473685,19,29.214285714285715,14
topo6_rnp_it2,0,0,54.21052631578947,19,29.214285714285715,14
topo6_rnp_it3,0,0,53.8421052631579,19,27.285714285714285,14
topo6_rnp_it4,0,0,55.63157894736842,19,27.857142857142858,14
topo6_rnp_it5,0,0,55.73684210526316,19,29.071428571428573,14
topo7_it0,0,0,20.583333333333332,12,6.09375,32
topo7_rac_it1,0,0,15.166666666666666,12,19.5625,32
topo7_rac_it2,0,0,18.25,12,20.25,32
topo7_rac_it3,0,0,15.416666666666666,12,18.4375,32
topo7_rac_it4,0,0,11.333333333333334,12,12.71875,32
topo7_rac_it5,0,0,18.416666666666668,12,16.53125,32
topo7_rnp_it1,0,0,10.833333333333334,12,10.46875,32
topo7_rnp_it2,0,0,10.833333333333334,12,10.625,32
topo7_rnp_it3,0,0,10.083333333333334,12,9.875,32
topo7_rnp_it4,0,0,10.75,12,10.625,32
topo7_rnp_it5,0,0,10.833333333333334,12,10.625,32
topo8_it0,0,0,32.44230769230769,52,25.40909090909091,22
topo8_rac_it1,0,0,37.76923076923077,52,26.636363636363637,22
topo8_rac_it2,0,0,32.48076923076923,52,24.0,22
topo8_rac_it3,0,0,35.63461538461539,52,26.136363636363637,22
topo8_rac_it4,0,0,59.88461538461539,52,45.13636363636363,22
topo8_rac_it5,0,0,42.07692307692308,52,23.363636363636363,22
topo8_rnp_it1,0,0,28.346153846153847,52,22.5,22
topo8_rnp_it2,0,0,42.25,52,35.13636363636363,22
topo8_rnp_it3,0,0,30.98076923076923,52,21.727272727272727,22
topo8_rnp_it4,0,0,30.26923076923077,52,20.954545454545453,22
topo8_rnp_it5,0,0,35.17307692307692,52,24.545454545454547,22
topo9_it0,0,0,1.5454545454545454,11,2.0,14
topo9_rac_it1,0,0,6.363636363636363,11,7.142857142857143,14
topo9_rac_it2,0,0,6.090909090909091,11,10.714285714285714,14
topo9_rac_it3,0,0,10.363636363636363,11,12.5,14
topo9_rac_it4,0,0,22.0,11,24.214285714285715,14
topo9_rac_it5,0,0,20.454545454545453,11,23.571428571428573,14
topo9_rnp_it1,0,0,2.3636363636363638,11,2.2857142857142856,14
topo9_rnp_it2,0,0,4.0,11,4.0,14
topo9_rnp_it3,0,0,5.545454545454546,11,6.857142857142857,14
topo9_rnp_it4,0,0,7.363636363636363,11,10.0,14
topo9_rnp_it5,0,0,7.363636363636363,11,10.0,14
