topology,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo1_it0,5.333333333333333,6,0,0,5.333333333333333,6
topo1_rac_it1,6.0,12,0,0,6.0,12
topo1_rac_it2,5.6,5,0,0,5.6,5
topo1_rac_it3,6.0,4,0,0,6.0,4
topo1_rac_it4,6.0,4,0,0,6.0,4
topo1_rac_it5,8.0,1,0,0,8.0,1
topo1_rnp_it1,5.333333333333333,6,0,0,5.333333333333333,6
topo1_rnp_it2,5.333333333333333,6,0,0,5.333333333333333,6
topo1_rnp_it3,8.0,2,0,0,8.0,2
topo1_rnp_it4,8.0,2,0,0,8.0,2
topo1_rnp_it5,8.0,2,0,0,8.0,2
