topology,total_paths,total_paths_avg,total_pairs,inter_isd_paths_avg,inter_isd_pairs,intra_isd_paths_avg,intra_isd_pairs
topo0_it0,3720,9.789473684210526,380,11.52,300,3.3,80
topo0_rac_it1,7336,19.305263157894736,380,22.92,300,5.75,80
topo0_rac_it2,5896,15.51578947368421,380,18.44,300,4.55,80
topo0_rac_it3,11287,29.70263157894737,380,33.15,300,16.775,80
topo0_rac_it4,9189,24.181578947368422,380,28.33,300,8.625,80
topo0_rac_it5,12137,31.939473684210526,380,34.803333333333335,300,21.2,80
topo0_rnp_it1,6740,17.736842105263158,380,20.933333333333334,300,5.75,80
topo0_rnp_it2,8672,22.821052631578947,380,26.346666666666668,300,9.6,80
topo0_rnp_it3,8930,23.5,380,26.926666666666666,300,10.65,80
topo0_rnp_it4,8842,23.268421052631577,380,26.633333333333333,300,10.65,80
topo0_rnp_it5,8862,23.321052631578947,380,26.7,300,10.65,80
topo10_it0,35788,25.453769559032718,1406,20.15282392026578,602,29.422885572139304,804
topo10_rac_it1,34854,24.789473684210527,1406,20.963455149501662,602,27.654228855721392,804
topo10_rac_it2,43764,32.441808747220165,1349,31.115315315315314,555,33.369017632241814,794
topo10_rac_it3,52337,37.22403982930299,1406,34.37043189368771,602,39.36069651741293,804
topo10_rac_it4,49512,35.21479374110953,1406,33.352159468438536,602,36.60945273631841,804
topo10_rac_it5,58088,41.314366998577526,1406,35.730897009966775,602,45.495024875621894,804
topo10_rnp_it1,30204,21.48221906116643,1406,19.38205980066445,602,23.054726368159205,804
topo10_rnp_it2,29247,21.600443131462335,1354,19.3625,560,23.178841309823678,794
topo10_rnp_it3,30222,21.4950213371266,1406,19.37873754152824,602,23.079601990049753,804
topo10_rnp_it4,30203,21.481507823613086,1406,19.380398671096344,602,23.054726368159205,804
topo10_rnp_it5,30226,21.49786628733997,1406,19.385382059800666,602,23.079601990049753,804
topo11_it0,2286,2.164772727272727,1056,2.2611764705882353,850,1.766990291262136,206
topo11_rac_it1,2438,2.308712121212121,1056,2.4352941176470586,850,1.7864077669902914,206
topo11_rac_it2,4298,4.070075757575758,1056,4.449411764705882,850,2.504854368932039,206
topo11_rac_it3,3494,3.308712121212121,1056,3.5458823529411765,850,2.3300970873786406,206
topo11_rac_it4,5956,5.640151515151516,1056,6.188235294117647,850,3.378640776699029,206
topo11_rac_it5,9978,9.448863636363637,1056,10.491764705882353,850,5.145631067961165,206
topo11_rnp_it1,2286,2.164772727272727,1056,2.2611764705882353,850,1.766990291262136,206
topo11_rnp_it2,2286,2.164772727272727,1056,2.2611764705882353,850,1.766990291262136,206
topo11_rnp_it3,2286,2.164772727272727,1056,2.2611764705882353,850,1.766990291262136,206
topo11_rnp_it4,2286,2.164772727272727,1056,2.2611764705882353,850,1.766990291262136,206
topo11_rnp_it5,2286,2.164772727272727,1056,2.2611764705882353,850,1.766990291262136,206
topo1_it0,8168,10.05911330049261,812,7.0,108,10.528409090909092,704
topo1_rac_it1,17530,21.588669950738915,812,22.444444444444443,108,21.457386363636363,704
topo1_rac_it2,18482,22.761083743842363,812,23.09259259259259,108,22.710227272727273,704
topo1_rac_it3,19390,23.879310344827587,812,23.88888888888889,108,23.87784090909091,704
topo1_rac_it4,20479,25.220443349753694,812,24.51851851851852,108,25.328125,704
topo1_rac_it5,20593,25.360837438423644,812,24.38888888888889,108,25.509943181818183,704
topo1_rnp_it1,12770,15.726600985221674,812,10.74074074074074,108,16.491477272727273,704
topo1_rnp_it2,13308,16.389162561576356,812,10.777777777777779,108,17.25,704
topo1_rnp_it3,11810,14.544334975369457,812,10.333333333333334,108,15.190340909090908,704
topo1_rnp_it4,11810,14.544334975369457,812,10.333333333333334,108,15.190340909090908,704
topo1_rnp_it5,16162,19.90394088669951,812,21.537037037037038,108,19.65340909090909,704
topo2_it0,2020,1.8003565062388591,1122,1.8448637316561844,954,1.5476190476190477,168
topo2_rac_it1,4388,3.910873440285205,1122,4.155136268343815,954,2.5238095238095237,168
topo2_rac_it2,4881,4.350267379679145,1122,4.621593291404612,954,2.8095238095238093,168
topo2_rac_it3,6827,6.0846702317290555,1122,6.516771488469602,954,3.630952380952381,168
topo2_rac_it4,5100,4.545454545454546,1122,4.7756813417190775,954,3.238095238095238,168
topo2_rac_it5,7490,6.675579322638146,1122,7.020964360587002,954,4.714285714285714,168
topo2_rnp_it1,3268,2.912655971479501,1122,3.0670859538784065,954,2.0357142857142856,168
topo2_rnp_it2,6009,5.355614973262032,1122,5.686582809224318,954,3.4761904761904763,168
topo2_rnp_it3,6012,5.358288770053476,1122,5.689727463312369,954,3.4761904761904763,168
topo2_rnp_it4,5978,5.327985739750446,1122,5.654088050314465,954,3.4761904761904763,168
topo2_rnp_it5,6017,5.362745098039215,1122,5.69496855345912,954,3.4761904761904763,168
topo3_it0,5884,2.501700680272109,2352,2.4953917050691246,1736,2.5194805194805197,616
topo3_rac_it1,9640,4.098639455782313,2352,4.373271889400922,1736,3.324675324675325,616
topo3_rac_it2,9888,4.204081632653061,2352,4.508064516129032,1736,3.3474025974025974,616
topo3_rac_it3,10616,4.51360544217687,2352,4.841013824884793,1736,3.590909090909091,616
topo3_rac_it4,16904,7.187074829931973,2352,8.15783410138249,1736,4.451298701298701,616
topo3_rac_it5,24423,10.383928571428571,2352,11.824884792626728,1736,6.3230519480519485,616
topo3_rnp_it1,10272,4.36734693877551,2352,4.756912442396313,1736,3.2694805194805197,616
topo3_rnp_it2,8730,3.711734693877551,2352,4.009216589861751,1736,2.8733766233766236,616
topo3_rnp_it3,13762,5.851190476190476,2352,6.693548387096774,1736,3.477272727272727,616
topo3_rnp_it4,19126,8.131802721088436,2352,9.630184331797235,1736,3.909090909090909,616
topo3_rnp_it5,16268,6.916666666666667,2352,8.254608294930875,1736,3.146103896103896,616
topo4_it0,10864,4.815602836879433,2256,4.927801724137931,1856,4.295,400
topo4_rac_it1,15980,7.083333333333333,2256,7.508620689655173,1856,5.11,400
topo4_rac_it2,32454,14.38563829787234,2256,15.252155172413794,1856,10.365,400
topo4_rac_it3,30382,13.467198581560284,2256,14.313577586206897,1856,9.54,400
topo4_rac_it4,18470,8.187056737588652,2256,8.510775862068966,1856,6.685,400
topo4_rac_it5,14589,6.466755319148936,2256,6.716056034482759,1856,5.31,400
topo4_rnp_it1,15861,7.030585106382978,2256,7.476831896551724,1856,4.96,400
topo4_rnp_it2,27138,12.029255319148936,2256,12.987068965517242,1856,7.585,400
topo4_rnp_it3,48982,21.760106619280318,2251,23.53646677471637,1851,13.54,400
topo4_rnp_it4,55432,24.570921985815602,2256,26.898706896551722,1856,13.77,400
topo4_rnp_it5,54679,24.808983666061707,2204,27.168781025923884,1813,13.867007672634271,391
topo5_it0,2588,1.5029036004645762,1722,1.4620355411954766,1238,1.6074380165289257,484
topo5_rac_it1,4178,2.4262485481997675,1722,2.5508885298869144,1238,2.1074380165289255,484
topo5_rac_it2,4612,2.678281068524971,1722,2.8045234248788367,1238,2.355371900826446,484
topo5_rac_it3,7934,4.607433217189315,1722,4.974151857835218,1238,3.669421487603306,484
topo5_rac_it4,8658,5.02787456445993,1722,5.386106623586429,1238,4.1115702479338845,484
topo5_rac_it5,8664,5.031358885017422,1722,5.386106623586429,1238,4.12396694214876,484
topo5_rnp_it1,3976,2.3089430894308944,1722,2.407108239095315,1238,2.0578512396694215,484
